"address_id","address","address2","district","city_id","postal_code","phone","city_city","city_country_id","country_country"
"smallint unsigned","varchar(50)","varchar(50)","varchar(20)","smallint unsigned","varchar(10)","varchar(20)","varchar(50)","smallint unsigned","varchar(50)"
"NOT NULL PRIMARY KEY auto_increment","NOT NULL","NULL","NOT NULL","NOT NULL","NULL","NOT NULL","NOT NULL","NOT NULL","NOT NULL"
"1","47 MySakila Drive","","Alberta","300","","","Lethbridge","20","Canada"
"2","28 MySQL Boulevard","","QLD","576","","","Woodridge","8","Australia"
"3","23 Workhaven Lane","","Alberta","300","","14033335568","Lethbridge","20","Canada"
"4","1411 Lillydale Drive","","QLD","576","","6172235589","Woodridge","8","Australia"
"5","1913 Hanoi Way","","Nagasaki","463","35200","28303384290","Sasebo","50","Japan"
"6","1121 Loja Avenue","","California","449","17886","838635286649","San Bernardino","103","United States"
"7","692 Joliet Street","","Attika","38","83579","448477190408","Athenai","39","Greece"
"8","1566 Inegöl Manor","","Mandalay","349","53561","705814003527","Myingyan","64","Myanmar"
"9","53 Idfu Parkway","","Nantou","361","42399","10655648674","Nantou","92","Taiwan"
"10","1795 Santiago de Compostela Way","","Texas","295","18743","860452626434","Laredo","103","United States"
"11","900 Santiago de Compostela Parkway","","Central Serbia","280","93896","716571220373","Kragujevac","108","Yugoslavia"
"12","478 Joliet Way","","Hamilton","200","77948","657282285970","Hamilton","68","New Zealand"
"13","613 Korolev Drive","","Masqat","329","45844","380657522649","Masqat","71","Oman"
"14","1531 Salé Drive","","Esfahan","162","53628","648856936185","Esfahan","46","Iran"
"15","1542 Tarlac Parkway","","Kanagawa","440","1027","635297277345","Sagamihara","50","Japan"
"16","808 Bhopal Manor","","Haryana","582","10672","465887807014","Yamuna Nagar","44","India"
"17","270 Amroha Parkway","","Osmaniye","384","29610","695479687538","Osmaniye","97","Turkey"
"18","770 Bydgoszcz Avenue","","California","120","16266","517338314235","Citrus Heights","103","United States"
"19","419 Iligan Lane","","Madhya Pradesh","76","72878","990911107354","Bhopal","44","India"
"20","360 Toulouse Parkway","","England","495","54308","949312333307","Southend-on-Sea","102","United Kingdom"
"21","270 Toulon Boulevard","","Kalmykia","156","81766","407752414682","Elista","80","Russian Federation"
"22","320 Brest Avenue","","Kaduna","252","43331","747791594069","Kaduna","69","Nigeria"
"23","1417 Lancaster Avenue","","Northern Cape","267","72192","272572357893","Kimberley","85","South Africa"
"24","1688 Okara Way","","Nothwest Border Prov","327","21954","144453869132","Mardan","72","Pakistan"
"25","262 A Coruña (La Coruña) Parkway","","Dhaka","525","34418","892775750063","Tangail","12","Bangladesh"
"26","28 Charlotte Amalie Street","","Rabat-Sal-Zammour-Z","443","37551","161968374323","Salé","62","Morocco"
"27","1780 Hino Boulevard","","Liepaja","303","7716","902731229323","Liepaja","54","Latvia"
"28","96 Tafuna Way","","Córdoba","128","99865","934730187245","Córdoba","6","Argentina"
"29","934 San Felipe de Puerto Plata Street","","Sind","472","99780","196495945706","Shikarpur","72","Pakistan"
"30","18 Duisburg Boulevard","","","121","58327","998009777982","Città del Vaticano","41","Holy See (Vatican City State)"
"31","217 Botshabelo Place","","Southern Mindanao","138","49521","665356572025","Davao","75","Philippines"
"32","1425 Shikarpur Manor","","Bihar","346","65599","678220867005","Munger (Monghyr)","44","India"
"33","786 Aurora Avenue","","Yamaguchi","474","65750","18461860151","Shimonoseki","50","Japan"
"34","1668 Anápolis Street","","Taipei","316","50199","525255540978","Lungtan","92","Taiwan"
"35","33 Gorontalo Way","","West Bengali","257","30348","745994947458","Kamarhati","44","India"
"36","176 Mandaluyong Place","","Uttar Pradesh","239","65213","627705991774","Jhansi","44","India"
"37","127 Purnea (Purnia) Manor","","Piemonte","17","79388","911872220378","Alessandria","49","Italy"
"38","61 Tama Street","","Okayama","284","94065","708403338270","Kurashiki","50","Japan"
"39","391 Callao Drive","","Midi-Pyrnes","544","34021","440512153169","Toulouse","34","France"
"40","334 Munger (Monghyr) Lane","","Markazi","31","38145","481183273622","Arak","46","Iran"
"41","1440 Fukuyama Loop","","Henan","362","47929","912257250465","Nanyang","23","China"
"42","269 Cam Ranh Parkway","","Chisinau","115","34689","489783829737","Chisinau","61","Moldova"
"43","306 Antofagasta Place","","Esprito Santo","569","3989","378318851631","Vila Velha","15","Brazil"
"44","671 Graz Street","","Oriental","353","94399","680768868518","Nador","62","Morocco"
"45","42 Brindisi Place","","Yerevan","586","16744","42384721397","Yerevan","7","Armenia"
"46","1632 Bislig Avenue","","Nonthaburi","394","61117","471675840679","Pak Kret","94","Thailand"
"47","1447 Imus Way","","Tahiti","167","48942","539758313890","Faaa","36","French Polynesia"
"48","1998 Halifax Drive","","Lipetsk","308","76022","177727722820","Lipetsk","80","Russian Federation"
"49","1718 Valencia Street","","Antofagasta","27","37359","675292816413","Antofagasta","22","Chile"
"50","46 Pjatigorsk Lane","","Moscow (City)","343","23616","262076994845","Moscow","80","Russian Federation"
"51","686 Garland Manor","","Cear","247","52535","69493378813","Juazeiro do Norte","15","Brazil"
"52","909 Garland Manor","","Tatarstan","367","69367","705800322606","Niznekamsk","80","Russian Federation"
"53","725 Isesaki Place","","Mekka","237","74428","876295323994","Jedda","82","Saudi Arabia"
"54","115 Hidalgo Parkway","","Khartum","379","80168","307703950263","Omdurman","89","Sudan"
"55","1135 Izumisano Parkway","","California","171","48150","171822533480","Fontana","103","United States"
"56","939 Probolinggo Loop","","Galicia","1","4166","680428310138","A Coruña (La Coruña)","87","Spain"
